tas_anomaly,model,scenario,year,month
-0.9054704,E3SM-1-1,ssp245,1879,5
-3.3131242,E3SM-1-1,ssp245,1879,6
-2.3890824,E3SM-1-1,ssp245,1879,7
-2.0823503,E3SM-1-1,ssp245,1879,8
-1.0496354,E3SM-1-1,ssp245,1879,9
-3.717299,E3SM-1-1,ssp245,1879,10
-2.6349626,E3SM-1-1,ssp245,1879,11
-1.4065385,E3SM-1-1,ssp245,1879,12
-0.35453653,E3SM-1-1,ssp245,1880,1
0.12147665,E3SM-1-1,ssp245,1880,2
-0.74449015,E3SM-1-1,ssp245,1880,3
-0.5480485,E3SM-1-1,ssp245,1880,4
-3.3046098,E3SM-1-1,ssp245,1880,5
-1.5273576,E3SM-1-1,ssp245,1880,6
1.7439742,E3SM-1-1,ssp245,1880,7
-2.1547074,E3SM-1-1,ssp245,1880,8
-4.3230424,E3SM-1-1,ssp245,1880,9
-3.0118546,E3SM-1-1,ssp245,1880,10
-2.0778642,E3SM-1-1,ssp245,1880,11
-3.6751542,E3SM-1-1,ssp245,1880,12
-1.5451493,E3SM-1-1,ssp245,1881,1
-1.3007951,E3SM-1-1,ssp245,1881,2
0.1828475,E3SM-1-1,ssp245,1881,3
-1.9536576,E3SM-1-1,ssp245,1881,4
-2.5891557,E3SM-1-1,ssp245,1881,5
-2.2776017,E3SM-1-1,ssp245,1881,6
-1.7014909,E3SM-1-1,ssp245,1881,7
-0.20289469,E3SM-1-1,ssp245,1881,8
-2.3172135,E3SM-1-1,ssp245,1881,9
-1.6277299,E3SM-1-1,ssp245,1881,10
-3.6594682,E3SM-1-1,ssp245,1881,11
-0.5990739,E3SM-1-1,ssp245,1881,12
-1.2766252,E3SM-1-1,ssp245,1882,1
-1.3540483,E3SM-1-1,ssp245,1882,2
-2.2707353,E3SM-1-1,ssp245,1882,3
-1.2920365,E3SM-1-1,ssp245,1882,4
-2.0403886,E3SM-1-1,ssp245,1882,5
-2.0995927,E3SM-1-1,ssp245,1882,6
-1.8205705,E3SM-1-1,ssp245,1882,7
-1.5444169,E3SM-1-1,ssp245,1882,8
-0.5510087,E3SM-1-1,ssp245,1882,9
-2.6386857,E3SM-1-1,ssp245,1882,10
-1.9673905,E3SM-1-1,ssp245,1882,11
-2.952376,E3SM-1-1,ssp245,1882,12
-1.538527,E3SM-1-1,ssp245,1883,1
-1.0417619,E3SM-1-1,ssp245,1883,2
-1.1987443,E3SM-1-1,ssp245,1883,3
-1.785933,E3SM-1-1,ssp245,1883,4
-0.5557084,E3SM-1-1,ssp245,1883,5
-4.294905,E3SM-1-1,ssp245,1883,6
-2.1624284,E3SM-1-1,ssp245,1883,7
-2.8473039,E3SM-1-1,ssp245,1883,8
-0.32899332,E3SM-1-1,ssp245,1883,9
-0.28462076,E3SM-1-1,ssp245,1883,10
-1.5397172,E3SM-1-1,ssp245,1883,11
-1.5723405,E3SM-1-1,ssp245,1883,12
-2.6693864,E3SM-1-1,ssp245,1884,1
-2.594954,E3SM-1-1,ssp245,1884,2
-3.1211076,E3SM-1-1,ssp245,1884,3
-2.8716264,E3SM-1-1,ssp245,1884,4
-4.6529374,E3SM-1-1,ssp245,1884,5
-3.4780717,E3SM-1-1,ssp245,1884,6
-2.7935014,E3SM-1-1,ssp245,1884,7
-1.6051164,E3SM-1-1,ssp245,1884,8
-3.291121,E3SM-1-1,ssp245,1884,9
-2.3078752,E3SM-1-1,ssp245,1884,10
-2.9527116,E3SM-1-1,ssp245,1884,11
-4.3011613,E3SM-1-1,ssp245,1884,12
-2.230513,E3SM-1-1,ssp245,1885,1
-1.7105241,E3SM-1-1,ssp245,1885,2
-2.042647,E3SM-1-1,ssp245,1885,3
-3.2292924,E3SM-1-1,ssp245,1885,4
-2.9208207,E3SM-1-1,ssp245,1885,5
-2.3743424,E3SM-1-1,ssp245,1885,6
-1.8361955,E3SM-1-1,ssp245,1885,7
-2.2749162,E3SM-1-1,ssp245,1885,8
-2.3826127,E3SM-1-1,ssp245,1885,9
-1.6473832,E3SM-1-1,ssp245,1885,10
-0.18263102,E3SM-1-1,ssp245,1885,11
-1.4346147,E3SM-1-1,ssp245,1885,12
-0.39967203,E3SM-1-1,ssp245,1886,1
-0.6906266,E3SM-1-1,ssp245,1886,2
0.3465438,E3SM-1-1,ssp245,1886,3
-2.4668107,E3SM-1-1,ssp245,1886,4
-1.5173173,E3SM-1-1,ssp245,1886,5
-0.56617594,E3SM-1-1,ssp245,1886,6
-0.78098917,E3SM-1-1,ssp245,1886,7
-1.4379716,E3SM-1-1,ssp245,1886,8
-1.2699113,E3SM-1-1,ssp245,1886,9
-2.6013322,E3SM-1-1,ssp245,1886,10
