tas_anomaly,model,scenario,year,month
0.89937437,NorESM2-MM,ssp245,1863,11
-0.24738464,NorESM2-MM,ssp245,1863,12
0.20091859,NorESM2-MM,ssp245,1864,1
-0.24476013,NorESM2-MM,ssp245,1864,2
-0.28266296,NorESM2-MM,ssp245,1864,3
-0.55289614,NorESM2-MM,ssp245,1864,4
-0.5608002,NorESM2-MM,ssp245,1864,5
-0.86554873,NorESM2-MM,ssp245,1864,6
-0.86625063,NorESM2-MM,ssp245,1864,7
-1.1218048,NorESM2-MM,ssp245,1864,8
-1.010202,NorESM2-MM,ssp245,1864,9
-0.71509707,NorESM2-MM,ssp245,1864,10
-0.6811615,NorESM2-MM,ssp245,1864,11
-0.7526337,NorESM2-MM,ssp245,1864,12
-0.80500185,NorESM2-MM,ssp245,1865,1
-2.2867827,NorESM2-MM,ssp245,1865,2
0.82622373,NorESM2-MM,ssp245,1865,3
0.9556793,NorESM2-MM,ssp245,1865,4
-0.31217346,NorESM2-MM,ssp245,1865,5
-0.085733026,NorESM2-MM,ssp245,1865,6
-0.56488955,NorESM2-MM,ssp245,1865,7
-0.3320404,NorESM2-MM,ssp245,1865,8
-0.57758486,NorESM2-MM,ssp245,1865,9
-0.014230341,NorESM2-MM,ssp245,1865,10
0.6875824,NorESM2-MM,ssp245,1865,11
0.67693174,NorESM2-MM,ssp245,1865,12
0.62590635,NorESM2-MM,ssp245,1866,1
0.75545347,NorESM2-MM,ssp245,1866,2
-1.0637604,NorESM2-MM,ssp245,1866,3
-0.22535095,NorESM2-MM,ssp245,1866,4
-0.79978335,NorESM2-MM,ssp245,1866,5
-0.39988098,NorESM2-MM,ssp245,1866,6
-0.6712433,NorESM2-MM,ssp245,1866,7
-0.6441437,NorESM2-MM,ssp245,1866,8
-0.78971255,NorESM2-MM,ssp245,1866,9
-1.9260956,NorESM2-MM,ssp245,1866,10
-0.81626284,NorESM2-MM,ssp245,1866,11
-3.5689483,NorESM2-MM,ssp245,1866,12
-1.8829132,NorESM2-MM,ssp245,1867,1
-3.7929778,NorESM2-MM,ssp245,1867,2
-2.9604888,NorESM2-MM,ssp245,1867,3
-1.189035,NorESM2-MM,ssp245,1867,4
-1.4815155,NorESM2-MM,ssp245,1867,5
-0.76575625,NorESM2-MM,ssp245,1867,6
-1.1791779,NorESM2-MM,ssp245,1867,7
-0.7989899,NorESM2-MM,ssp245,1867,8
-0.77836,NorESM2-MM,ssp245,1867,9
-1.4900604,NorESM2-MM,ssp245,1867,10
-1.7742707,NorESM2-MM,ssp245,1867,11
0.27336732,NorESM2-MM,ssp245,1867,12
-1.0574433,NorESM2-MM,ssp245,1868,1
-1.9865204,NorESM2-MM,ssp245,1868,2
-0.28058776,NorESM2-MM,ssp245,1868,3
0.16145936,NorESM2-MM,ssp245,1868,4
-0.80155337,NorESM2-MM,ssp245,1868,5
-0.7946564,NorESM2-MM,ssp245,1868,6
-1.2719208,NorESM2-MM,ssp245,1868,7
-1.345224,NorESM2-MM,ssp245,1868,8
-1.0653168,NorESM2-MM,ssp245,1868,9
-0.97284853,NorESM2-MM,ssp245,1868,10
-1.5494477,NorESM2-MM,ssp245,1868,11
-0.50791323,NorESM2-MM,ssp245,1868,12
0.5764679,NorESM2-MM,ssp245,1869,1
0.32625428,NorESM2-MM,ssp245,1869,2
0.022146612,NorESM2-MM,ssp245,1869,3
-1.1128021,NorESM2-MM,ssp245,1869,4
-0.26838073,NorESM2-MM,ssp245,1869,5
-1.2350556,NorESM2-MM,ssp245,1869,6
-1.2100312,NorESM2-MM,ssp245,1869,7
-1.023233,NorESM2-MM,ssp245,1869,8
-1.1103607,NorESM2-MM,ssp245,1869,9
-0.87510073,NorESM2-MM,ssp245,1869,10
-0.3992401,NorESM2-MM,ssp245,1869,11
-1.7468964,NorESM2-MM,ssp245,1869,12
-2.4516997,NorESM2-MM,ssp245,1870,1
-2.0619903,NorESM2-MM,ssp245,1870,2
-1.3690583,NorESM2-MM,ssp245,1870,3
-1.9966828,NorESM2-MM,ssp245,1870,4
-0.6779572,NorESM2-MM,ssp245,1870,5
-1.1776215,NorESM2-MM,ssp245,1870,6
-1.3046356,NorESM2-MM,ssp245,1870,7
-1.2120148,NorESM2-MM,ssp245,1870,8
-1.050821,NorESM2-MM,ssp245,1870,9
-1.6540924,NorESM2-MM,ssp245,1870,10
-1.6486603,NorESM2-MM,ssp245,1870,11
0.5491241,NorESM2-MM,ssp245,1870,12
-1.6059052,NorESM2-MM,ssp245,1871,1
-1.657785,NorESM2-MM,ssp245,1871,2
-1.2050263,NorESM2-MM,ssp245,1871,3
-1.3628632,NorESM2-MM,ssp245,1871,4
-1.1212555,NorESM2-MM,ssp245,1871,5
-0.9807526,NorESM2-MM,ssp245,1871,6
-1.0716339,NorESM2-MM,ssp245,1871,7
-1.0810333,NorESM2-MM,ssp245,1871,8
-0.5647675,NorESM2-MM,ssp245,1871,9
-0.18677673,NorESM2-MM,ssp245,1871,10
1.2385162,NorESM2-MM,ssp245,1871,11
0.82118833,NorESM2-MM,ssp245,1871,12
-0.74927676,NorESM2-MM,ssp245,1872,1
-0.7934357,NorESM2-MM,ssp245,1872,2
-0.32444152,NorESM2-MM,ssp245,1872,3
-0.68781435,NorESM2-MM,ssp245,1872,4
-1.333078,NorESM2-MM,ssp245,1872,5
-0.73591006,NorESM2-MM,ssp245,1872,6
-0.6387421,NorESM2-MM,ssp245,1872,7
-0.9694611,NorESM2-MM,ssp245,1872,8
-0.8163544,NorESM2-MM,ssp245,1872,9
-1.3896576,NorESM2-MM,ssp245,1872,10
-2.5453277,NorESM2-MM,ssp245,1872,11
-2.1402068,NorESM2-MM,ssp245,1872,12
0.55769956,NorESM2-MM,ssp245,1873,1
2.0012727,NorESM2-MM,ssp245,1873,2
0.4428009,NorESM2-MM,ssp245,1873,3
-0.32132873,NorESM2-MM,ssp245,1873,4
-0.8217865,NorESM2-MM,ssp245,1873,5
-0.854715,NorESM2-MM,ssp245,1873,6
-1.2475067,NorESM2-MM,ssp245,1873,7
-0.922403,NorESM2-MM,ssp245,1873,8
-0.9781281,NorESM2-MM,ssp245,1873,9
-1.0635468,NorESM2-MM,ssp245,1873,10
0.23769227,NorESM2-MM,ssp245,1873,11
-3.8410125,NorESM2-MM,ssp245,1873,12
-1.820108,NorESM2-MM,ssp245,1874,1
-1.0105683,NorESM2-MM,ssp245,1874,2
-1.805246,NorESM2-MM,ssp245,1874,3
-0.8446747,NorESM2-MM,ssp245,1874,4
-0.24356994,NorESM2-MM,ssp245,1874,5
-0.77411807,NorESM2-MM,ssp245,1874,6
-0.5866791,NorESM2-MM,ssp245,1874,7
-0.7269989,NorESM2-MM,ssp245,1874,8
-0.5476166,NorESM2-MM,ssp245,1874,9
-0.109933466,NorESM2-MM,ssp245,1874,10
-1.7444245,NorESM2-MM,ssp245,1874,11
-1.4486786,NorESM2-MM,ssp245,1874,12
-1.891275,NorESM2-MM,ssp245,1875,1
-1.3291718,NorESM2-MM,ssp245,1875,2
-1.4003998,NorESM2-MM,ssp245,1875,3
-0.7988373,NorESM2-MM,ssp245,1875,4
-0.7744843,NorESM2-MM,ssp245,1875,5
-1.2204987,NorESM2-MM,ssp245,1875,6
-1.2518708,NorESM2-MM,ssp245,1875,7
-1.3806854,NorESM2-MM,ssp245,1875,8
-1.063974,NorESM2-MM,ssp245,1875,9
-1.7379853,NorESM2-MM,ssp245,1875,10
-0.05115661,NorESM2-MM,ssp245,1875,11
-0.45557556,NorESM2-MM,ssp245,1875,12
-1.219339,NorESM2-MM,ssp245,1876,1
0.33302918,NorESM2-MM,ssp245,1876,2
0.28056946,NorESM2-MM,ssp245,1876,3
0.06023255,NorESM2-MM,ssp245,1876,4
-0.45139465,NorESM2-MM,ssp245,1876,5
-0.59076846,NorESM2-MM,ssp245,1876,6
-0.84351504,NorESM2-MM,ssp245,1876,7
-1.2029511,NorESM2-MM,ssp245,1876,8
-0.9245087,NorESM2-MM,ssp245,1876,9
-0.5287262,NorESM2-MM,ssp245,1876,10
-0.46235046,NorESM2-MM,ssp245,1876,11
-2.886087,NorESM2-MM,ssp245,1876,12
-2.2186675,NorESM2-MM,ssp245,1877,1
-1.4317414,NorESM2-MM,ssp245,1877,2
-2.1002898,NorESM2-MM,ssp245,1877,3
-1.0236908,NorESM2-MM,ssp245,1877,4
-1.2537323,NorESM2-MM,ssp245,1877,5
-0.56073916,NorESM2-MM,ssp245,1877,6
-0.057748407,NorESM2-MM,ssp245,1877,7
-0.673288,NorESM2-MM,ssp245,1877,8
0.014212042,NorESM2-MM,ssp245,1877,9
-0.20923766,NorESM2-MM,ssp245,1877,10
-0.7899567,NorESM2-MM,ssp245,1877,11
-1.5779511,NorESM2-MM,ssp245,1877,12
-0.9130646,NorESM2-MM,ssp245,1878,1
-1.258432,NorESM2-MM,ssp245,1878,2
-1.8293549,NorESM2-MM,ssp245,1878,3
-0.3617035,NorESM2-MM,ssp245,1878,4
-0.39185485,NorESM2-MM,ssp245,1878,5
-0.31403503,NorESM2-MM,ssp245,1878,6
-1.0538117,NorESM2-MM,ssp245,1878,7
-0.9970795,NorESM2-MM,ssp245,1878,8
-0.7283112,NorESM2-MM,ssp245,1878,9
-1.7957855,NorESM2-MM,ssp245,1878,10
-0.53571475,NorESM2-MM,ssp245,1878,11
-0.77948916,NorESM2-MM,ssp245,1878,12
-0.16776428,NorESM2-MM,ssp245,1879,1
0.6324371,NorESM2-MM,ssp245,1879,2
0.018484503,NorESM2-MM,ssp245,1879,3
-0.15943298,NorESM2-MM,ssp245,1879,4
0.2249054,NorESM2-MM,ssp245,1879,5
-0.42322692,NorESM2-MM,ssp245,1879,6
-0.73221743,NorESM2-MM,ssp245,1879,7
-0.74595034,NorESM2-MM,ssp245,1879,8
-1.1700836,NorESM2-MM,ssp245,1879,9
-0.77723086,NorESM2-MM,ssp245,1879,10
-1.0312287,NorESM2-MM,ssp245,1879,11
0.62520444,NorESM2-MM,ssp245,1879,12
-0.83881533,NorESM2-MM,ssp245,1880,1
0.207724,NorESM2-MM,ssp245,1880,2
-2.4759612,NorESM2-MM,ssp245,1880,3
-2.0269866,NorESM2-MM,ssp245,1880,4
-1.984079,NorESM2-MM,ssp245,1880,5
-0.841684,NorESM2-MM,ssp245,1880,6
-1.8624359,NorESM2-MM,ssp245,1880,7
-1.030008,NorESM2-MM,ssp245,1880,8
-0.5845734,NorESM2-MM,ssp245,1880,9
-1.4490448,NorESM2-MM,ssp245,1880,10
-2.9343657,NorESM2-MM,ssp245,1880,11
-2.0524077,NorESM2-MM,ssp245,1880,12
-0.047219843,NorESM2-MM,ssp245,1881,1
-0.6137482,NorESM2-MM,ssp245,1881,2
-0.4535614,NorESM2-MM,ssp245,1881,3
0.33370057,NorESM2-MM,ssp245,1881,4
0.41295472,NorESM2-MM,ssp245,1881,5
0.0074676573,NorESM2-MM,ssp245,1881,6
-0.2171112,NorESM2-MM,ssp245,1881,7
-1.0037628,NorESM2-MM,ssp245,1881,8
-0.76816714,NorESM2-MM,ssp245,1881,9
-1.8465363,NorESM2-MM,ssp245,1881,10
-1.0093476,NorESM2-MM,ssp245,1881,11
